CVE-2018-1999024,mathjax version prior version contain cross site script xss vulner unicod macro result potenti untrust javascript run within web browser attack appear exploit via victim must view page untrust content process use mathjax vulner appear fix later 
CVE-2018-1002200,plexus archiv vulner directori travers allow attack write arbitrari file via dot dot slash archiv entri mishandl extract vulner also known zip slip 
CVE-2018-1000550,sympa communiti sympa version prior version contain directori travers vulner wwsympa fcgi templat edit function result possibl creat modifi file server filesystem attack appear exploit via http get post request vulner appear fix 
CVE-2018-1000544,rubyzip gem rubyzip version earlier contain directori travers vulner zip file compon result write arbitrari file filesystem attack appear exploit via site allow upload zip file attack upload malici file contain symlink file absolut pathnam write arbitrari file filesystem 
CVE-2018-1000528,gonicus gosa version commit ba f dcceb contain cross site script xss vulner chang password form html password php result inject arbitrari web script html attack appear exploit via victim must open special craft web page vulner appear fix commit ba f dcceb 
CVE-2018-1000517,busybox project busybox wget version prior commit e e bd e c b c e bc e e contain buffer overflow vulner busybox wget result heap buffer overflow attack appear exploit via network connect vulner appear fix commit e e bd e c b c e bc e e 
CVE-2018-1000301,curl version curl includ curl contain cwe buffer read vulner denial servic result curl trick read data beyond end heap base buffer use store download rtsp content vulner appear fix curl curl 
CVE-2018-1000300,curl version curl includ curl contain cwe heap base buffer overflow vulner denial servic result curl might overflow heap base memori buffer close ftp connect long server command repli vulner appear fix curl curl 
CVE-2018-1000200,linux kernel version null pointer derefer result memori oom kill larg mlock process issu aris oom kill process final thread call exit mmap call munlock vma page mlock vmas happen synchron oom reaper unmap page rang sinc vma vm lock bit clear munlock determin vmas share memori mlock 
CVE-2018-1000179,null pointer derefer cwe exist quassel version quasselcor void coreauthhandl handl const login msg coreauthhandl cpp line allow attack caus denial servic 
CVE-2018-1000178,heap corrupt type cwe exist quassel version quasselcor void datastreamp processmessag const qbytearray msg datastreamp cpp line allow attack execut code remot 
CVE-2018-1000164,gunicorn version contain cwe improp neutral crlf sequenc http header vulner process header function gunicorn http wsgi py result attack caus server return arbitrari http header vulner appear fix 
CVE-2018-1000156,gnu patch version contain input valid vulner process patch file specif editor program invoc use ed result code execut attack appear exploit via patch file process via patch util similar freebsd cve howev although share common ancestri code base diverg time 
CVE-2018-1000140,rsyslog librelp version earlier contain buffer overflow vulner check x certif peer result remot code execut attack appear exploit remot attack connect rsyslog trigger stack buffer overflow send special craft x certif 
CVE-2018-1000135,gnome networkmanag version earlier contain inform exposur cwe vulner dns resolv result privat dns queri leak local network dns server vpn vulner appear fix ubuntu packag fix later updat remov fix cf https bug launchpad net ubuntu bug upstream fix appear avail time 
CVE-2018-1000132,mercuri version earlier contain incorrect access control cwe vulner protocol server result unauthor data access attack appear exploit via network connect vulner appear fix 
CVE-2018-1000127,memcach version prior contain integ overflow vulner item c item free result data corrupt deadlock due item exist hash tabl reus free list attack appear exploit via network connect memcach servic vulner appear fix later 
CVE-2018-1000122,buffer read exist curl includ curl rtsp rtp handl code allow attack caus denial servic inform leakag 
CVE-2018-1000121,null pointer derefer exist curl includ curl ldap code allow attack caus denial servic 
CVE-2018-1000120,buffer overflow exist curl includ curl ftp url handl allow attack caus denial servic wors 
CVE-2018-1000116,net snmp version contain heap corrupt vulner udp protocol handler result command execut 
CVE-2018-1000115,memcach version contain insuffici control network messag volum network amplif cwe vulner udp support memcach server result denial servic via network flood traffic amplif report reliabl sourc attack appear exploit via network connect port udp vulner appear fix due disabl udp protocol default 
CVE-2018-1000097,sharutil sharutil unshar command version contain buffer overflow vulner affect compon file unshar c line function look like c code failur perform check buffer contain input line result could lead code execut attack appear exploit via victim run unshar command special craft file 
CVE-2018-1000085,clamav version version contain bound heap memori read vulner xar parser function xar hash check result leak memori may help develop exploit chain attack appear exploit via victim must scan craft xar file vulner appear fix commit b bcc fa e aa e c b 
CVE-2018-1000078,rubygem version rubi seri earlier rubi seri earlier rubi seri earlier rubi seri earlier prior trunk revis contain cross site script xss vulner gem server display homepag attribut result xss attack appear exploit via victim must brows malici gem vulner gem server vulner appear fix 
CVE-2018-1000077,rubygem version rubi seri earlier rubi seri earlier rubi seri earlier rubi seri earlier prior trunk revis contain improp input valid vulner rubi gem specif homepag attribut result malici gem could set invalid homepag url vulner appear fix 
CVE-2018-1000076,rubygem version rubi seri earlier rubi seri earlier rubi seri earlier rubi seri earlier prior trunk revis contain improp verif cryptograph signatur vulner packag rb result mis sign gem could instal tarbal would contain multipl gem signatur vulner appear fix 
CVE-2018-1000075,rubygem version rubi seri earlier rubi seri earlier rubi seri earlier rubi seri earlier prior trunk revis contain infinit loop caus negat size vulner rubi gem packag tar header result negat size could caus infinit loop vulner appear fix 
CVE-2018-1000028,linux kernel version commit bdcf ea rc contain incorrect access control vulner nfs server nfsd result remot user read write file abl via nfs attack appear exploit via nfs server must export filesystem rootsquash option enabl vulner appear fix commit fa 
CVE-2018-1000027,squid softwar foundat squid http cach proxi version prior version contain null pointer derefer vulner http respons x forward header process result denial servic client proxi attack appear exploit via remot http server respond x forward header certain type http request vulner appear fix later 
CVE-2018-1000026,linux linux kernel version least v onward probabl well contain insuffici input valid vulner bnx x network card driver result dos network card firmwar assert take card line attack appear exploit via attack must pass larg special craft packet bnx x card done untrust guest vm 
CVE-2018-1000007,libcurl might accident leak authent data third parti ask send custom header http request libcurl send set header first host initi url also ask follow redirect x http respons code return host mention url locat respons header valu send set header subsequest host particular problem applic pass custom author header header often contain privaci sensit inform data could allow other imperson libcurl use client request 
CVE-2018-1000005,libcurl includ contain bound read code handl http trailer report https github com curl curl pull read http trailer could mess futur trailer sinc store size one byte less requir problem code creat http like header http trailer data append string like target buffer recent chang space ad colon follow math updat correspond access data read bound caus either crash larg data get pass client write could lead denial servic situat inform disclosur someon servic echo back use trailer someth 
CVE-2018-1000004,linux kernel possibl earlier version race condit vulner exist sound system lead deadlock denial servic condit 
CVE-2018-14617,issu discov linux kernel null pointer derefer panic hfsplus lookup fs hfsplus dir c open file purport hard link hfs filesystem malform catalog data mount read without metadata directori 
CVE-2018-14616,issu discov linux kernel null pointer derefer fscrypt page crypto fs crypto crypto c oper file corrupt f fs imag 
CVE-2018-14615,issu discov linux kernel buffer overflow truncat inlin inod fs f fs inlin c umount f fs imag length valu may negat 
CVE-2018-14614,issu discov linux kernel bound access remov dirti segment fs f fs segment c mount f fs imag 
